compound,model,size,rim_width_in,setup_id,label,run,pressure_psi,window,status,samples,peak_mu_y_p95,ky_norm_per_rad,tread_mean_c,tread_peak_c,surface_spread_mean_c,inner_minus_outer_c,rim_temp_mean_c,ambient_temp_mean_c
LC0,43075,16x7.5-10,8.0,LC0_43075_16x7p5_10_8in,Hoosier 43075 16x7.5-10 LC0 8in,16,8.0,final_run_8psi,ok,19971,2.986360158188437,34.12607498994218,59.67492146946407,70.30333333333334,5.917717690651444,-4.873207150368034,36.511126633618744,27.585227079264936
LC0,43075,16x7.5-10,8.0,LC0_43075_16x7p5_10_8in,Hoosier 43075 16x7.5-10 LC0 8in,15,10.0,initial_run_10psi,ok,19964,2.848434266322756,34.4317687106675,58.024224604287724,68.53666666666668,7.255897114806651,-6.36834552193949,35.06315618112603,27.237789020236423
LC0,43075,16x7.5-10,8.0,LC0_43075_16x7p5_10_8in,Hoosier 43075 16x7.5-10 LC0 8in,15,12.0,initial_run_12psi,ok,19858,2.744394591165068,33.09889602313698,58.30021032665257,70.76333333333334,7.491113908752139,-5.793285325813274,33.143281297210194,27.034512539027098
LC0,43075,16x7.5-10,8.0,LC0_43075_16x7p5_10_8in,Hoosier 43075 16x7.5-10 LC0 8in,16,12.0,final_run_12psi,ok,19963,2.5694596077557046,30.322263427029,58.22075005426707,68.47333333333334,7.993825577318038,-6.4023077693733415,36.89802284225818,27.636446425887893
LC0,43075,16x7.5-10,8.0,LC0_43075_16x7p5_10_8in,Hoosier 43075 16x7.5-10 LC0 8in,15,14.0,initial_run_14psi,ok,19921,2.530203576864536,29.609712547810535,57.278560313237286,68.33999999999999,8.954290949249536,-7.331463279955825,35.54948396164851,27.347344008834895
LC0,43075,16x7.5-10,7.0,LC0_43075_16x7p5_10_7in,Hoosier 43075 16x7.5-10 LC0 7in,19,8.0,final_run_8psi,ok,19965,3.023347864170919,33.3321341708345,59.369348526588205,70.27,7.465759579263712,-5.85099824693213,38.176415727523164,28.489294264963686
LC0,43075,16x7.5-10,7.0,LC0_43075_16x7p5_10_7in,Hoosier 43075 16x7.5-10 LC0 7in,18,10.0,initial_run_10psi,ok,19988,2.8950209573990056,33.42857288622468,59.715186445200445,70.93666666666667,7.362351410846507,-6.466519911947168,37.14030318190915,28.22396187712628
LC0,43075,16x7.5-10,7.0,LC0_43075_16x7p5_10_7in,Hoosier 43075 16x7.5-10 LC0 7in,18,12.0,initial_run_12psi,ok,19970,2.7979263421749883,32.093409930205524,59.605131363712225,71.83333333333333,7.099105157736605,-5.885103655483224,35.59638708062093,27.93670505758638
LC0,43075,16x7.5-10,7.0,LC0_43075_16x7p5_10_7in,Hoosier 43075 16x7.5-10 LC0 7in,19,12.0,final_run_12psi,ok,19978,2.5899495375474304,30.320458014109924,57.54003920979744,66.64,9.021990189208129,-7.576365502052258,38.0779332265492,28.72515366903594
LC0,43075,16x7.5-10,7.0,LC0_43075_16x7p5_10_7in,Hoosier 43075 16x7.5-10 LC0 7in,18,14.0,initial_run_14psi,ok,19943,2.5406578308832937,29.34394640507294,58.18702719417005,68.76666666666667,8.18988968560397,-7.736677530963245,37.474522890237175,28.42786190643334
LC0,43070,16x6.0-10,6.0,LC0_43070_16x6p0_10_6in,Hoosier 43070 16x6.0-10 LC0 6in,22,8.0,final_run_8psi,ok,19982,2.958031388513474,31.64891068744282,56.90034280852767,64.05666666666667,9.729092683415073,-7.780930837753979,38.86613852467221,29.128197878090276
LC0,43070,16x6.0-10,6.0,LC0_43070_16x6p0_10_6in,Hoosier 43070 16x6.0-10 LC0 6in,21,10.0,initial_run_10psi,ok,19980,2.797262190633687,32.54095728404325,59.16495095095095,68.66000000000001,10.89630930930931,-8.261625625625626,38.23362812812813,28.993773273273273
LC0,43070,16x6.0-10,6.0,LC0_43070_16x6p0_10_6in,Hoosier 43070 16x6.0-10 LC0 6in,21,12.0,initial_run_12psi,ok,19944,2.665314660447192,31.39722439078932,60.080975230645805,70.24,11.089332631367832,-7.441725832330525,36.830940132370635,28.68850080224629
